Wave Data provided @ 10:50hrs on 27-06-2015
Site, SiteNumber, Seconds, DateTime, Latitude, Longitude, Hsig, Hmax, Tp, Tz, SST, Direction
Cairns,9,1434729600,2015-06-20T02:00:00,-16.7334900000,145.7097600000,0.3208000000000000,0.5900000000000000,9.0900000000000000,3.3900000000000000,24.2500000000000000,0.0000000000000000
Cairns,9,1434731400,2015-06-20T02:30:00,-16.7334900000,145.7097600000,0.3378000000000000,0.5800000000000000,8.3300000000000000,3.3610000000000000,24.3000000000000000,0.0000000000000000
Cairns,9,1434733200,2015-06-20T03:00:00,-16.7334800000,145.7097600000,0.3243000000000000,0.6000000000000000,9.0900000000000000,3.4190000000000000,24.3000000000000000,0.0000000000000000
Cairns,9,1434735000,2015-06-20T03:30:00,-16.7334900000,145.7097600000,0.3175000000000000,0.5800000000000000,6.2500000000000000,3.2790000000000000,24.3000000000000000,0.0000000000000000
Cairns,9,1434736800,2015-06-20T04:00:00,-16.7334800000,145.7097400000,0.3106000000000000,0.5800000000000000,8.3300000000000000,3.2790000000000000,24.3000000000000000,0.0000000000000000
Cairns,9,1434738600,2015-06-20T04:30:00,-16.7334900000,145.7097400000,0.3014000000000000,0.5400000000000000,5.8800000000000000,3.4190000000000000,24.3000000000000000,0.0000000000000000
Cairns,9,1434740400,2015-06-20T05:00:00,-16.7334900000,145.7097400000,0.2969000000000000,0.5300000000000000,5.8800000000000000,3.5090000000000000,24.3000000000000000,0.0000000000000000
Cairns,9,1434742200,2015-06-20T05:30:00,-16.7334900000,145.7097200000,0.2990000000000000,0.5200000000000000,9.0900000000000000,3.4480000000000000,24.3500000000000000,0.0000000000000000
Cairns,9,1434744000,2015-06-20T06:00:00,-16.7334800000,145.7097000000,0.3052000000000000,0.5300000000000000,5.8800000000000000,3.5710000000000000,24.3500000000000000,0.0000000000000000
Cairns,9,1434745800,2015-06-20T06:30:00,-16.7334900000,145.7096500000,0.3061000000000000,0.5600000000000000,9.0900000000000000,3.7380000000000000,24.4000000000000000,0.0000000000000000
Cairns,9,1434747600,2015-06-20T07:00:00,-16.7335000000,145.7096500000,0.3090000000000000,0.6300000000000000,9.0900000000000000,3.4780000000000000,24.4000000000000000,0.0000000000000000
Cairns,9,1434749400,2015-06-20T07:30:00,-16.7335000000,145.7096500000,0.3350000000000000,0.5400000000000000,5.2600000000000000,3.3900000000000000,24.4000000000000000,0.0000000000000000
Cairns,9,1434751200,2015-06-20T08:00:00,-16.7335000000,145.7096300000,0.3475000000000000,0.6700000000000000,9.0900000000000000,3.3610000000000000,24.4000000000000000,0.0000000000000000
Cairns,9,1434753000,2015-06-20T08:30:00,-16.7335000000,145.7096100000,0.3520000000000000,0.5400000000000000,8.3300000000000000,3.3330000000000000,24.3500000000000000,0.0000000000000000
Cairns,9,1434754800,2015-06-20T09:00:00,-16.7335100000,145.7096100000,0.3393000000000000,0.6000000000000000,5.5600000000000000,3.3610000000000000,24.4000000000000000,0.0000000000000000
Cairns,9,1434756600,2015-06-20T09:30:00,-16.7335300000,145.7096100000,0.3544000000000000,0.5500000000000000,5.8800000000000000,3.2000000000000000,24.4000000000000000,0.0000000000000000
Cairns,9,1434758400,2015-06-20T10:00:00,-16.7335400000,145.7095700000,0.3536000000000000,0.5700000000000000,5.8800000000000000,3.0770000000000000,24.4500000000000000,0.0000000000000000
Cairns,9,1434760200,2015-06-20T10:30:00,-16.7335200000,145.7095700000,0.3376000000000000,0.5700000000000000,9.0900000000000000,3.1010000000000000,24.4500000000000000,0.0000000000000000
Cairns,9,1434762000,2015-06-20T11:00:00,-16.7335500000,145.7095700000,0.3958000000000000,0.6900000000000000,5.8800000000000000,3.0530000000000000,24.5500000000000000,0.0000000000000000
Cairns,9,1434763800,2015-06-20T11:30:00,-16.7335300000,145.7095700000,0.4892000000000000,0.7800000000000000,3.0300000000000000,2.8170000000000000,24.4500000000000000,0.0000000000000000
Cairns,9,1434765600,2015-06-20T12:00:00,-16.7335300000,145.7095700000,0.4924000000000000,0.8700000000000000,2.9400000000000000,2.7780000000000000,24.5000000000000000,0.0000000000000000
Cairns,9,1434767400,2015-06-20T12:30:00,-16.7335300000,145.7095700000,0.5239000000000000,0.9000000000000000,3.0300000000000000,2.8780000000000000,24.4000000000000000,0.0000000000000000
Cairns,9,1434769200,2015-06-20T13:00:00,-16.7335100000,145.7095700000,0.5308000000000000,0.9400000000000000,3.1300000000000000,2.8570000000000000,24.4500000000000000,0.0000000000000000
Cairns,9,1434771000,2015-06-20T13:30:00,-16.7335200000,145.7095700000,0.5438000000000000,0.8900000000000000,3.0300000000000000,2.8780000000000000,24.5000000000000000,0.0000000000000000
Cairns,9,1434772800,2015-06-20T14:00:00,-16.7335100000,145.7095700000,0.6090000000000000,1.0100000000000000,3.3300000000000000,2.8570000000000000,24.5500000000000000,0.0000000000000000
Cairns,9,1434774600,2015-06-20T14:30:00,-16.7335100000,145.7095900000,0.6695000000000000,1.2300000000000000,3.5700000000000000,2.9630000000000000,24.5000000000000000,0.0000000000000000
Cairns,9,1434776400,2015-06-20T15:00:00,-16.7335200000,145.7095900000,0.7248000000000000,1.3000000000000000,3.8500000000000000,3.0530000000000000,24.4500000000000000,0.0000000000000000
Cairns,9,1434778200,2015-06-20T15:30:00,-16.7335300000,145.7096100000,0.7146000000000000,1.3400000000000000,3.7000000000000000,3.1250000000000000,24.5000000000000000,0.0000000000000000
Cairns,9,1434780000,2015-06-20T16:00:00,-16.7335200000,145.7096100000,0.7541000000000000,1.3100000000000000,3.8500000000000000,3.1750000000000000,24.4500000000000000,0.0000000000000000
Cairns,9,1434781800,2015-06-20T16:30:00,-16.7335200000,145.7096100000,0.7731000000000000,1.6600000000000000,3.5700000000000000,3.1500000000000000,24.4500000000000000,0.0000000000000000
Cairns,9,1434783600,2015-06-20T17:00:00,-16.7334900000,145.7095900000,0.7518000000000000,1.4600000000000000,3.8500000000000000,3.1750000000000000,24.4000000000000000,0.0000000000000000
Cairns,9,1434785400,2015-06-20T17:30:00,-16.7335100000,145.7095700000,0.7518000000000000,1.2900000000000000,3.8500000000000000,3.1500000000000000,24.4000000000000000,0.0000000000000000
Cairns,9,1434787200,2015-06-20T18:00:00,-16.7335100000,145.7095700000,0.7503000000000000,1.3200000000000000,3.7000000000000000,3.2790000000000000,24.4000000000000000,0.0000000000000000
Cairns,9,1434789000,2015-06-20T18:30:00,-16.7335300000,145.7096100000,0.6929000000000000,1.1200000000000000,4.0000000000000000,3.1500000000000000,24.4000000000000000,0.0000000000000000
Cairns,9,1434790800,2015-06-20T19:00:00,-16.7335300000,145.7096100000,0.5917000000000000,1.1300000000000000,4.0000000000000000,3.1010000000000000,24.4000000000000000,0.0000000000000000
Cairns,9,1434792600,2015-06-20T19:30:00,-16.7335400000,145.7096100000,0.5621000000000000,0.9800000000000000,3.8500000000000000,3.1250000000000000,24.3000000000000000,0.0000000000000000
Cairns,9,1434794400,2015-06-20T20:00:00,-16.7335200000,145.7095700000,0.5430000000000000,1.0200000000000000,3.2300000000000000,3.0300000000000000,24.3500000000000000,0.0000000000000000
Cairns,9,1434796200,2015-06-20T20:30:00,-16.7335200000,145.7095900000,0.5009000000000000,0.8900000000000000,3.3300000000000000,3.0080000000000000,24.3500000000000000,0.0000000000000000
Cairns,9,1434798000,2015-06-20T21:00:00,-16.7335300000,145.7095900000,0.4958000000000000,0.7900000000000000,3.2300000000000000,3.0300000000000000,24.3500000000000000,0.0000000000000000
Cairns,9,1434799800,2015-06-20T21:30:00,-16.7335400000,145.7095900000,0.5032000000000000,0.7700000000000000,3.0300000000000000,2.9630000000000000,24.3500000000000000,0.0000000000000000
Cairns,9,1434801600,2015-06-20T22:00:00,-16.7335300000,145.7095700000,0.4906000000000000,0.7800000000000000,3.2300000000000000,3.0530000000000000,24.3500000000000000,0.0000000000000000
Cairns,9,1434803400,2015-06-20T22:30:00,-16.7335200000,145.7095700000,0.4823000000000000,0.7800000000000000,3.4500000000000000,3.0080000000000000,24.3500000000000000,0.0000000000000000
Cairns,9,1434805200,2015-06-20T23:00:00,-16.7335300000,145.7095900000,0.5299000000000000,0.8400000000000000,3.2300000000000000,2.9850000000000000,24.3000000000000000,0.0000000000000000
